Loading mnist dataset...
/data/conda_env/torfia/lib/python3.8/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /opt/conda/conda-bld/pytorch_1623448234945/work/torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
(Epoch 1 / 100) Train_Loss: 2359.402; Val_Loss: 1754.021   Train_ACC: 11.273; Val_ACC: 11.350   Train_NMI: 0.052; Val_NMI: 0.000
(Epoch 2 / 100) Train_Loss: 1663.110; Val_Loss: 1570.927   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 3 / 100) Train_Loss: 1549.292; Val_Loss: 1509.809   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 4 / 100) Train_Loss: 1492.724; Val_Loss: 1488.196   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 5 / 100) Train_Loss: 1456.327; Val_Loss: 1439.472   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 6 / 100) Train_Loss: 1430.353; Val_Loss: 1419.024   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 7 / 100) Train_Loss: 1412.866; Val_Loss: 1408.003   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 8 / 100) Train_Loss: 1398.450; Val_Loss: 1407.739   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 9 / 100) Train_Loss: 1387.038; Val_Loss: 1389.818   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 10 / 100) Train_Loss: 1378.473; Val_Loss: 1378.488   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 11 / 100) Train_Loss: 1371.158; Val_Loss: 1378.806   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 12 / 100) Train_Loss: 1364.757; Val_Loss: 1382.715   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 13 / 100) Train_Loss: 1359.657; Val_Loss: 1379.150   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
